ID;Name;MeanCrop;CorMeanCrop;DevFB;Rank;Wet;StoFrep1;StoFrep2;Hrep1;Hrep2;Dis%BasRot;Dis%WhRot;Dis%CrRot;EvRestrep1;EvRustrep2;RstGrrep1;RstGrrep2;OilCrop(%);OilCrop(cwt/ha); EvStem;EvTotal;OleicAcid%;Comments
21;AM40*X*RCM//R6-8211;34.32;34.07;-1.25;78;11.525;71;70;180;160;;;;5;6;5;7;;;;;;
22;AM40*X*RCM////R6-3313;36.02;34.75;-0.57;72;13.525;68;69;180;170;;;;6;5;7;6;;;;;;
23;DELPHI;38.18;38.18;2.87;32;14;69;69;175;170;;;;5;7;5;5;;;;;;
24;AHO33*X*RCM//R6-6312;37.79;35.12;-0.20;67;13.925;72;72;180;185;;;;5;7;5;6;;;;;;
25;AM40/08*X*RL42;31.59;31.27;-4.05;89;14.58;65;66;170;185;;;;5;6;8;7;;;;;;
26;AHO33*X*RS65//RM02(?)25-22-1;32.29;32.74;-2.58;83;20.255;73;71;175;175;;;;5;6;7;8;;;;;;
27;AMHO33*X*R08///608-2121;41.16;40.79;5.47;14;11.13;69;69;175;170;;;;5;5;7;7;;;;;;
28;AHO33 *X*S2BC2RCM//R6-23;38.14;39.36;4.04;23;18.71;73;73;175;175;;;;5;5;7;8;;;;;;
29;AHO33*X*RS65//RM02?25-14-2;28.44;29.53;-5.79;96;11.355;69;68;165;155;;;;8;7;5;6;;;;;;
30;AHO33*X*RM02*X*RS65/R6-14-21;34.60;34.92;-0.40;71;12.665;71;72;160;160;;;;5;8;6;8;;;;;;
31;AHO33*X*RF12;44.59;42.68;7.36;9;11.315;72;72;175;175;;;;3;7;7;8;;;;;;
32;AHO33*X*R-fob;47.47;45.88;10.56;3;10.755;72;71;180;160;;;;3;5;7;8;;;;;;
33;AHO33*X*RP4;35.05;33.97;-1.35;79;11.525;70;71;170;155;;;;8;7;7;7;;;;;;
34;AHO33*X*RCM///R6-3312;37.17;36.47;1.15;53;8.47;70;70;175;145;;;;5;7;3;4;;;;;;
35;AM32/36 *X*RCM///R6-3312;38.50;36.60;1.28;49;10.845;68;69;175;150;;;;7;6;3;5;;;;;;
36;AM32/36 *X*RCM//R6-6312;41.99;41.99;6.67;10;10.205;71;71;180;160;;;;5;6;5;6;;;;;;
37;AM32/36*X*RP4;39.59;38.13;2.81;33;20.38;70;69;175;160;;;;9;9;9;9;;;;;;
38;AP83*X*R1;42.80;41.09;5.77;11;14.58;70;70;170;170;;;;7;7;9;7;;;;;;
39;AP83*X*RL42;38.96;37.75;2.43;38;11.155;67;67;160;160;;;;5;4;5;3;;;;;;
40;NADEJDA;28.40;27.63;-7.68;98;16.105;67;69;180;180-195;;;;5;4;7;7;;;;;;Not leveled
41;AM08*X*RCM////R6-3313;43.57;44.47;9.15;4;13.705;68;68;195;180;;;;3;4;5;6;;;;;;
42;AM08*X*RM020R*X*RS65-59-2111;32.69;36.01;0.69;57;17.13;70;69;195;180;;;;7;5;7;7;;;;;;
43;AM08*X*R-4K733/R6+R4-8311;38.27;40.44;5.12;17;13.595;70;68;190;190;;;;5;4;7;7;;;;;;
44;AM08*X*RS65//RM02-(?)25-12-12;38.58;38.40;3.08;29;19.005;67;66;180;165;;;;7;5;8;7;;;;;;
45;AM08*X*RS65//RM02-15-11;31.65;34.27;-1.05;75;16.645;70;69;180;170;;;;7;8;8;7;;;;;;
46;AM08*X*RS43/R10-112214;32.93;32.68;-2.64;84;15.24;68;68;170;165;;;;7;4;7;7;;;;;;
47;AM08*X*RP14;29.43;30.84;-4.48;93;17.34;67;68;160;160;;;;8;8;8;7;;;;;;
48;AM08*X*RP24;35.70;35.00;-0.32;69;13.255;65;65;175;170;;;;8;6;8;7;;;;;;
49;AM08*X*RS64;33.70;33.96;-1.36;80;12.64;66;67;165-180;160;;;;6;5;7;5;;;;;;Not leveled
50;AM08*X*RL74;29.74;30.71;-4.61;94;11.975;65;64;160;150;;;;5;4;5;5;;;;;;
51;AM08*X*RK325;36.04;36.11;0.79;56;13.57;67;67;170;150;;;;8;6;8;8;;;;;;
52;AM08*X*RK-alz;36.15;35.58;0.26;62;14.99;68;68;170;145;;;;9;9;9;8;;;;;;
53;AM08*X*RL-mgs;39.27;38.57;3.25;28;13.685;66;65;175;155;;;;5;5;6;7;;;;;;
54;AM08*X*RL 65/35;37.34;36.52;1.20;51;13.425;70;70;185;150;;;;9;9;7;6;;;;;;
